budget,revenue,runtime,video,actorsPopularity_mean,popularity,voteAvg,voteCount,genresAmount,productionCoAmount,productionCountriesAmount,actorsAmount,castWomenAmount,castMenAmount,releaseYear
12000000.0,38587181.0,95,0,0.37278750000000005,0.0357,0.0,0,2,0,0,8,2.0,5.0,2026.0
12000000.0,38587181.0,3,0,0.001775,0.0357,0.0,0,1,0,0,4,0.0,0.0,2026.0
12000000.0,38587181.0,2,0,0.011200000000000002,0.0214,0.0,0,1,0,0,3,0.0,0.0,2026.0
12000000.0,38587181.0,5,0,0.0,0.0429,0.0,0,3,0,0,7,0.0,0.0,2026.0
12000000.0,38587181.0,12,0,0.0088,0.0379,0.0,0,1,0,0,3,0.0,0.0,2026.0
1.0,1.0,14,0,0.0,0.0286,0.0,0,1,0,0,3,0.0,0.0,2026.0
12000000.0,38587181.0,39,0,0.29585999999999996,0.0596,0.0,0,1,0,0,5,0.0,3.0,2026.0
12000000.0,38587181.0,90,0,0.2652,0.0979,0.0,0,1,0,1,4,3.0,0.0,2026.0
12000000.0,38587181.0,96,0,0.41256000000000004,0.1071,0.0,0,3,0,1,5,1.0,3.0,2026.0
12000000.0,38587181.0,106,0,1.00674,0.1536,0.0,0,1,0,0,5,2.0,3.0,2026.0
12000000.0,38587181.0,120,0,0.42654285714285717,0.2503,0.0,0,2,0,1,7,3.0,4.0,2026.0
12000000.0,38587181.0,100,0,0.38982,0.7313,7.0,1,2,0,1,5,1.0,3.0,2026.0
12000000.0,38587181.0,100,0,0.0978,0.149,0.0,0,2,0,1,2,1.0,0.0,2026.0
12000000.0,38587181.0,45,0,0.0071,0.0404,0.0,0,0,1,1,1,0.0,0.0,2026.0
12000000.0,38587181.0,90,0,0.55025,0.7356,0.0,0,3,2,1,10,5.0,3.0,2026.0
12000000.0,38587181.0,7,0,0.0404125,0.0837,0.0,0,3,0,0,8,0.0,1.0,2026.0
500.0,38587181.0,70,0,0.11005000000000001,0.2017,10.0,1,1,0,0,10,0.0,3.0,2026.0
50000.0,38587181.0,13,0,0.031209999999999995,0.133,0.0,0,2,3,1,10,1.0,0.0,2026.0
12000000.0,38587181.0,0,0,0.0429,0.1112,0.0,0,3,0,1,1,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,0.017925,0.1559,0.0,0,1,0,1,4,1.0,0.0,2026.0
12000000.0,38587181.0,154,0,0.34358000000000005,0.1526,0.0,0,0,1,1,10,0.0,10.0,2026.0
12000000.0,38587181.0,20,0,2.4952307692307696,0.0071,0.0,0,0,1,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,91,0,0.0119,0.0532,0.0,0,1,1,1,6,0.0,0.0,2026.0
300.0,38587181.0,0,0,0.0214,0.0357,0.0,0,1,0,1,1,0.0,0.0,2026.0
12000000.0,38587181.0,4,0,0.0589,0.0286,0.0,0,1,1,0,6,0.0,4.0,2026.0
12000000.0,38587181.0,8,0,2.4952307692307696,0.0852,0.0,0,0,0,0,0,0.0,0.0,2026.0
12000000.0,38587181.0,6,0,0.0071,0.1594,0.0,0,1,0,1,1,0.0,0.0,2026.0
12000000.0,38587181.0,22,0,2.4952307692307696,0.0398,0.0,0,0,0,2,0,0.0,0.0,2026.0
12000000.0,38587181.0,14,0,2.4952307692307696,0.0609,0.0,0,1,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,0.03953333333333333,0.0614,0.0,0,2,1,1,3,0.0,0.0,2026.0
12000000.0,38587181.0,157,0,0.00142,0.0368,0.0,0,1,1,1,5,0.0,0.0,2026.0
12000000.0,38587181.0,62,0,0.008700000000000001,0.0744,0.0,0,1,1,2,3,1.0,0.0,2026.0
12000000.0,38587181.0,98,0,0.055975,0.1885,0.0,0,2,2,2,4,2.0,0.0,2026.0
12000000.0,38587181.0,45,0,2.4952307692307696,0.07,0.0,0,1,0,2,0,0.0,0.0,2026.0
12000000.0,38587181.0,62,0,0.0,0.0431,0.0,0,2,1,2,2,0.0,0.0,2026.0
20000.0,38587181.0,15,0,0.27071999999999996,0.0491,0.0,0,1,1,1,10,1.0,2.0,2026.0
12000000.0,38587181.0,86,0,0.6369,0.0143,0.0,0,1,1,1,1,0.0,1.0,2026.0
12000000.0,38587181.0,25,0,0.3972,0.112,0.0,0,0,0,1,1,0.0,1.0,2026.0
12000000.0,38587181.0,17,0,0.0032,0.0071,0.0,0,2,0,0,8,0.0,0.0,2026.0
12000000.0,38587181.0,106,0,2.4952307692307696,0.0974,0.0,0,1,0,2,0,0.0,0.0,2026.0
12000000.0,38587181.0,126,0,0.36402,0.1209,0.0,0,2,2,2,5,2.0,2.0,2026.0
12000000.0,38587181.0,116,0,0.4929,0.2795,0.0,0,1,1,1,2,1.0,1.0,2026.0
12000000.0,38587181.0,4,0,2.4952307692307696,0.0214,0.0,0,0,0,0,0,0.0,0.0,2026.0
12000000.0,38587181.0,5,0,2.4952307692307696,0.0143,0.0,0,0,0,0,0,0.0,0.0,2026.0
12000000.0,38587181.0,13,0,2.4952307692307696,0.0143,0.0,0,0,0,0,0,0.0,0.0,2026.0
12000000.0,38587181.0,6,0,2.4952307692307696,0.051,0.0,0,0,0,0,0,0.0,0.0,2026.0
12000000.0,38587181.0,29,0,2.4952307692307696,0.0071,0.0,0,0,0,0,0,0.0,0.0,2026.0
1700.0,38587181.0,20,0,0.24526666666666666,0.0388,0.0,0,3,1,0,6,0.0,1.0,2026.0
12000000.0,38587181.0,81,0,0.19886666666666664,0.0071,0.0,0,0,0,3,3,2.0,0.0,2026.0
12000000.0,38587181.0,73,0,2.4952307692307696,0.1865,0.0,0,1,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,2.4952307692307696,0.0071,0.0,0,4,0,0,0,0.0,0.0,2026.0
12000000.0,38587181.0,70,0,0.025,0.066,0.0,0,1,1,1,2,0.0,0.0,2026.0
12000000.0,38587181.0,21,0,0.007025,0.0,0.0,0,0,0,2,4,0.0,0.0,2026.0
12000000.0,38587181.0,20,0,0.09142499999999998,0.0363,0.0,0,1,1,1,4,1.0,0.0,2026.0
2000.0,38587181.0,80,0,0.0035700000000000003,0.0478,0.0,0,2,1,0,10,0.0,0.0,2026.0
12000000.0,38587181.0,82,0,0.054266666666666664,0.0977,0.0,0,1,1,1,6,1.0,1.0,2026.0
125000.0,38587181.0,94,0,0.03325555555555556,0.8898,3.0,1,3,1,1,9,0.0,2.0,2026.0
12000000.0,38587181.0,0,0,0.0,0.0143,0.0,0,1,0,0,2,0.0,0.0,2026.0
12000000.0,38587181.0,90,0,0.6627777777777778,0.3805,0.0,0,0,0,1,9,2.0,6.0,2026.0
12000000.0,38587181.0,28,0,1.1895333333333333,0.0629,0.0,0,1,1,0,3,1.0,2.0,2026.0
4000.0,38587181.0,13,0,0.028900000000000002,0.0942,0.0,0,1,0,1,4,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,0.00715,0.0214,0.0,0,2,0,1,4,0.0,0.0,2026.0
1000.0,38587181.0,13,0,0.007133333333333334,0.2218,0.0,0,1,1,1,3,0.0,0.0,2026.0
12000000.0,38587181.0,83,0,0.02772,0.7514,0.0,0,1,3,1,10,0.0,0.0,2026.0
12000000.0,38587181.0,5,0,2.4952307692307696,0.0286,0.0,0,0,0,0,0,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,2.4952307692307696,0.0143,0.0,0,1,1,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,3,0,0.0023666666666666667,0.2143,10.0,1,2,0,1,3,0.0,1.0,2026.0
12000000.0,38587181.0,88,0,1.1898,0.1857,10.0,1,1,0,0,1,0.0,1.0,2026.0
7000.0,38587181.0,4,0,0.0496,0.1046,10.0,1,2,1,0,1,0.0,1.0,2026.0
12000000.0,38587181.0,120,0,0.14468333333333333,0.0261,0.0,0,0,0,0,6,1.0,2.0,2026.0
12000000.0,38587181.0,0,0,0.0,0.0629,7.0,1,1,0,0,2,0.0,0.0,2026.0
12000000.0,38587181.0,120,0,0.7425666666666667,1.0343,0.0,0,0,1,0,3,0.0,3.0,2026.0
12000000.0,38587181.0,2,0,0.0071,0.1371,0.0,0,1,1,0,1,0.0,1.0,2026.0
13.0,2.0,1,0,0.0,0.0646,0.0,0,2,0,0,4,0.0,0.0,2026.0
12000000.0,38587181.0,2,0,2.4952307692307696,0.0286,0.0,0,1,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,9,0,0.007133333333333333,0.0739,0.0,0,2,0,0,3,0.0,0.0,2026.0
12000000.0,38587181.0,10,0,0.0286,0.0732,0.0,0,2,0,1,1,0.0,1.0,2026.0
12000000.0,38587181.0,3,0,0.0,0.0218,0.0,0,2,0,1,2,0.0,0.0,2026.0
12000000.0,38587181.0,1,0,2.4952307692307696,0.0521,0.0,0,0,0,0,0,0.0,0.0,2026.0
200.0,38587181.0,8,0,0.0071,0.0786,10.0,1,1,0,2,2,0.0,0.0,2026.0
12000000.0,38587181.0,6,0,0.010700000000000001,0.05,0.0,0,1,0,0,2,0.0,1.0,2026.0
12000000.0,38587181.0,0,0,2.4952307692307696,0.0281,0.0,0,0,1,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,17,0,0.0071,0.0311,0.0,0,1,1,0,5,0.0,0.0,2026.0
12000000.0,38587181.0,4,0,0.007125000000000001,0.0429,0.0,0,1,1,1,4,0.0,0.0,2026.0
600.0,38587181.0,0,0,0.019209999999999998,0.1062,0.0,0,1,0,1,10,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,0.018,0.1342,0.0,0,0,0,0,6,0.0,1.0,2026.0
12000000.0,38587181.0,0,0,2.4952307692307696,0.0286,0.0,0,0,0,0,0,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,0.0070999999999999995,0.0453,0.0,0,0,0,0,9,0.0,0.0,2026.0
12000000.0,38587181.0,147,0,0.15683,0.0791,0.0,0,3,3,1,10,9.0,0.0,2026.0
12000000.0,38587181.0,0,0,0.35076,0.0445,0.0,0,3,2,1,10,1.0,7.0,2026.0
12000000.0,38587181.0,0,0,0.0071,0.0387,0.0,0,1,1,0,2,0.0,0.0,2026.0
12000000.0,38587181.0,9,0,0.029344444444444444,0.0629,0.0,0,0,2,1,9,1.0,0.0,2026.0
100.0,38587181.0,0,0,0.0251,0.0361,0.0,0,1,1,1,2,1.0,1.0,2026.0
12000000.0,38587181.0,0,0,0.011099999999999999,0.0781,0.0,0,3,0,0,6,0.0,1.0,2026.0
12000000.0,38587181.0,15,0,0.0070999999999999995,0.0737,0.0,0,1,2,3,3,0.0,0.0,2026.0
12000000.0,38587181.0,76,0,0.011600000000000001,0.1464,0.0,0,3,1,1,8,0.0,0.0,2026.0
12000000.0,38587181.0,240,0,1.41268,11.2047,7.3,11,1,1,1,10,0.0,10.0,2026.0
12000000.0,38587181.0,3,0,0.008900000000000002,0.1094,10.0,1,2,1,1,4,0.0,0.0,2026.0
12000000.0,38587181.0,6,0,0.0023666666666666667,0.0327,0.0,0,0,1,1,3,0.0,2.0,2026.0
12000000.0,38587181.0,13,0,0.0023666666666666667,0.0363,0.0,0,0,1,0,3,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,0.0,0.0412,0.0,0,1,1,0,1,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,0.074,0.0732,0.0,0,2,1,1,6,1.0,0.0,2026.0
12000000.0,38587181.0,9,0,2.4952307692307696,0.0347,0.0,0,0,0,2,0,0.0,0.0,2026.0
12000000.0,38587181.0,8,0,2.4952307692307696,0.0707,0.0,0,0,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,0.16462000000000002,0.1644,0.0,0,1,0,0,10,1.0,1.0,2026.0
12000000.0,38587181.0,7,0,2.4952307692307696,0.0071,0.0,0,0,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,5,0,0.0,0.0143,0.0,0,1,1,0,5,0.0,0.0,2026.0
12000000.0,38587181.0,90,0,0.8350699999999998,0.7775,0.0,0,3,0,0,10,4.0,4.0,2026.0
12000000.0,38587181.0,0,0,2.4952307692307696,0.0256,0.0,0,1,2,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,2.4952307692307696,0.0555,0.0,0,0,0,0,0,0.0,0.0,2026.0
25000.0,38587181.0,0,0,2.4952307692307696,0.0214,0.0,0,0,0,0,0,0.0,0.0,2026.0
12000000.0,38587181.0,175,0,0.35134000000000004,0.1483,0.0,0,2,2,1,10,10.0,0.0,2026.0
12000000.0,38587181.0,75,0,2.4952307692307696,0.0261,0.0,0,1,1,1,0,0.0,0.0,2026.0
7.0,15000.0,63,0,0.0909,0.1368,0.0,0,0,0,1,1,0.0,1.0,2026.0
150.0,38587181.0,12,0,0.00286,0.0708,0.0,0,2,1,0,5,0.0,0.0,2026.0
12000000.0,38587181.0,11,0,2.4952307692307696,0.0806,0.0,0,0,0,2,0,0.0,0.0,2026.0
12000000.0,38587181.0,14,0,0.0933,0.0545,0.0,0,0,0,2,2,1.0,0.0,2026.0
12000000.0,38587181.0,12,0,2.4952307692307696,0.0387,0.0,0,1,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,24,0,2.4952307692307696,0.0338,0.0,0,1,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,4,0,2.4952307692307696,0.0214,0.0,0,1,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,27,0,2.4952307692307696,0.0261,0.0,0,1,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,8,0,0.112675,0.0362,0.0,0,0,0,1,4,1.0,0.0,2026.0
12000000.0,38587181.0,30,0,2.4952307692307696,0.0791,0.0,0,0,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,10,0,2.4952307692307696,0.0357,0.0,0,0,0,3,0,0.0,0.0,2026.0
12000000.0,38587181.0,16,0,2.4952307692307696,0.0256,0.0,0,1,0,2,0,0.0,0.0,2026.0
12000000.0,38587181.0,13,0,0.0196,0.0811,0.0,0,1,0,1,3,0.0,0.0,2026.0
12000000.0,38587181.0,20,0,2.4952307692307696,0.0256,0.0,0,1,0,3,0,0.0,0.0,2026.0
12000000.0,38587181.0,3,0,2.4952307692307696,0.0214,0.0,0,0,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,25,0,2.4952307692307696,0.0281,0.0,0,1,0,2,0,0.0,0.0,2026.0
12000000.0,38587181.0,69,0,0.14717,0.1026,0.0,0,1,1,1,10,3.0,2.0,2026.0
12000000.0,38587181.0,17,0,2.4952307692307696,0.0454,0.0,0,1,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,29,0,2.4952307692307696,0.1296,0.0,0,2,0,1,0,0.0,0.0,2026.0
5000.0,38587181.0,18,0,0.25212500000000004,0.1008,0.0,0,0,1,1,4,1.0,1.0,2026.0
12000000.0,38587181.0,105,0,0.1001,0.1368,0.0,0,2,2,1,10,0.0,4.0,2026.0
12000000.0,38587181.0,83,0,0.0,0.1104,0.0,0,1,1,1,7,0.0,0.0,2026.0
12000000.0,38587181.0,166,0,0.7528857142857144,0.1947,0.0,0,2,2,2,7,1.0,2.0,2026.0
12000000.0,38587181.0,64,0,0.00625,0.1079,0.0,0,1,1,1,8,0.0,0.0,2026.0
12000000.0,38587181.0,98,0,2.4952307692307696,0.0286,0.0,0,2,0,0,0,0.0,0.0,2026.0
12000000.0,38587181.0,17,0,2.4952307692307696,0.0311,0.0,0,1,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,3,0,2.4952307692307696,0.0239,0.0,0,1,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,111,0,0.13771666666666665,0.0536,0.0,0,1,1,1,6,2.0,1.0,2026.0
12000000.0,38587181.0,65,0,0.042825,0.0352,0.0,0,1,4,3,4,0.0,1.0,2026.0
12000000.0,38587181.0,95,0,0.001775,0.0668,0.0,0,1,1,2,4,2.0,2.0,2026.0
50.0,38587181.0,0,0,0.0261,0.0806,0.0,0,1,0,0,1,0.0,0.0,2026.0
1000.0,38587181.0,13,0,0.0023833333333333332,0.0701,0.0,0,2,1,1,6,0.0,0.0,2026.0
12000000.0,38587181.0,7,0,2.4952307692307696,0.0071,0.0,0,0,0,0,0,0.0,0.0,2026.0
12000000.0,38587181.0,19,0,2.4952307692307696,0.0214,0.0,0,0,0,0,0,0.0,0.0,2026.0
310.0,90.0,67,0,0.010769999999999998,0.1791,0.0,0,3,0,0,10,1.0,0.0,2026.0
600.0,38587181.0,0,0,0.0047666666666666664,0.0306,0.0,0,1,1,1,3,0.0,0.0,2026.0
12000000.0,38587181.0,20,0,0.014433333333333334,0.0143,0.0,0,1,1,0,3,0.0,0.0,2026.0
12000000.0,38587181.0,95,0,2.4952307692307696,0.0662,0.0,0,1,0,6,0,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,3.1398,1.2094,0.0,0,1,0,1,2,1.0,1.0,2026.0
12000000.0,38587181.0,197,0,0.03654999999999999,0.2631,0.0,0,3,1,1,10,4.0,6.0,2026.0
12000000.0,38587181.0,0,0,0.16408000000000003,2.8612,0.0,0,1,1,2,10,0.0,7.0,2026.0
12000000.0,38587181.0,70,0,1.4,0.1652,0.0,0,1,1,1,1,0.0,1.0,2026.0
12000000.0,38587181.0,20,0,2.4952307692307696,0.0,0.0,0,0,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,88,0,0.28505714285714284,0.1181,0.0,0,2,1,1,7,1.0,4.0,2026.0
12000000.0,38587181.0,90,0,2.622,0.6043,0.0,0,1,1,1,1,1.0,0.0,2026.0
12000000.0,38587181.0,0,0,0.7428166666666667,0.8621,7.0,1,3,1,1,6,2.0,4.0,2026.0
12000000.0,38587181.0,15,0,2.4952307692307696,0.0214,0.0,0,1,0,0,0,0.0,0.0,2026.0
12000000.0,38587181.0,122,0,0.68109,0.1216,0.0,0,1,2,1,10,4.0,4.0,2026.0
12000000.0,38587181.0,97,0,0.15561666666666665,0.1706,0.0,0,1,1,1,6,2.0,0.0,2026.0
12000000.0,38587181.0,79,0,0.0168,0.5479,0.0,0,3,5,3,1,0.0,0.0,2026.0
12000000.0,38587181.0,107,0,0.17862,0.0721,0.0,0,2,2,2,10,1.0,2.0,2026.0
12000000.0,38587181.0,0,0,0.19075,0.0864,0.0,0,1,2,1,6,3.0,1.0,2026.0
12000000.0,38587181.0,7,0,2.4952307692307696,0.0363,0.0,0,1,0,0,0,0.0,0.0,2026.0
12000000.0,38587181.0,87,0,0.013340000000000001,0.0445,0.0,0,5,0,0,5,0.0,0.0,2026.0
1000.0,38587181.0,62,0,2.4952307692307696,0.1753,0.0,0,1,0,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,2.4952307692307696,0.0967,0.0,0,1,0,2,0,0.0,0.0,2026.0
12000000.0,38587181.0,86,0,1.3173333333333332,8.016,0.0,0,3,2,1,6,1.0,3.0,2026.0
12000000.0,38587181.0,84,0,0.44053999999999993,0.2515,0.0,0,1,1,1,10,1.0,2.0,2026.0
12000000.0,38587181.0,159,0,2.4952307692307696,0.0872,0.0,0,1,2,1,0,0.0,0.0,2026.0
12000000.0,38587181.0,106,0,0.40647142857142854,0.3863,0.0,0,1,4,5,7,2.0,3.0,2026.0
